Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9,WAR10,WAR11,WAR12,WAR13
Freddy Garcia,1077,3.8,1.0,5.3,3.4,1.6,4.8,4.0,3.1,0.2,1.5,1.5,1.7,0.5
Mike Cuellar,1002853,0.4,0.8,6.1,5.1,3.3,6.6,4.8,2.8,2.4,2.5,3.3,3.3,-0.2
Dan Petry,1010246,1.1,2.5,2.1,4.4,1.3,4.2,2.9,0.4,0.1,0.3,-0.6,0.8,-0.8
Billy Wagner,578,0.2,2.2,1.8,3.6,2.0,1.7,2.3,1.5,2.1,1.9,1.6,1.2,1.9
Chad Qualls,2170,0.3,0.7,0.2,0.8,1.8,0.9,0.0,0.0,-0.4,0.5,0.5,0.4,0.0
Tom Griffin,1005054,2.4,0.5,0.0,1.0,0.6,2.1,-0.4,0.0,-0.6,-0.5,0.2,-0.1,1.1
Storm Davis,1003080,1.8,3.7,4.7,3.0,2.6,1.1,2.1,0.5,1.4,0.1,0.8,0.8,0.3
Vern Ruhle,1011297,0.6,1.8,1.8,0.5,1.3,0.4,2.2,1.2,1.2,-0.7,0.6,1.0,0.5
John Franco,874,0.6,1.0,1.4,1.5,1.1,1.3,1.3,1.3,0.5,-0.5,1.0,0.8,1.2
Charlie Leibrandt,1007492,1.0,0.3,0.4,1.9,4.1,3.7,4.4,3.4,1.2,3.2,3.6,3.6,2.2
Jerry Koosman,1007103,3.6,5.4,2.3,2.2,2.9,4.4,5.4,3.1,4.9,4.6,3.2,5.5,3.8
Curt Schilling,73,0.7,0.9,4.2,4.5,0.8,2.8,4.7,8.2,8.3,3.3,4.6,7.2,9.3
Kent Mercker,439,-0.2,0.7,0.0,1.1,1.6,1.5,-0.3,0.9,2.3,1.1,-0.6,-0.7,0.1
Claude Osteen,1009878,-0.5,2.1,2.3,4.4,3.5,4.8,3.8,1.9,5.5,3.1,1.6,2.4,2.1
Tom Seaver,1011708,3.3,5.8,4.4,8.3,9.1,5.6,7.3,5.1,7.8,6.8,6.2,4.4,3.9
Ron Villone,1010,-0.6,-0.2,0.1,2.4,0.2,0.8,0.4,1.2,0.3,0.7,-0.1,-0.1,-0.2
Jim Clancy,1002255,0.5,3.0,0.4,3.2,0.4,4.3,2.8,1.8,1.6,3.1,5.0,1.8,0.4
Jamie Moyer,1091,0.3,1.5,2.1,0.2,1.0,-0.2,3.2,1.9,1.2,1.6,3.2,5.2,4.6
Danny Jackson,1006295,0.7,4.6,2.9,4.3,5.2,0.9,1.7,-0.5,2.8,3.2,3.9,0.3,0.4
Joe Niekro,1009582,2.0,-0.1,1.6,1.6,0.2,0.8,0.1,0.8,0.4,1.6,1.4,1.8,3.4
Miguel Batista,46,0.0,0.7,2.0,-0.9,1.3,3.1,4.3,1.6,0.5,2.9,2.2,-1.3,0.1
Dennis Eckersley,1003660,2.8,4.6,4.6,3.9,4.4,2.9,3.2,3.1,0.8,3.2,4.3,3.7,3.4
John Hiller,1005817,1.6,1.0,0.5,0.9,0.2,2.8,3.0,1.6,1.6,1.5,2.0,-1.6,0.1
Gaylord Perry,1010210,0.5,-0.3,3.6,2.3,7.3,5.6,5.5,5.9,6.3,4.7,8.1,5.7,6.3
Rick Wise,1014155,0.0,1.9,3.4,2.0,3.7,3.8,4.6,4.8,5.1,1.0,2.7,3.1,1.6
Mike Stanton,849,0.8,0.1,0.3,0.3,-0.1,0.7,1.4,0.1,1.5,1.6,1.7,1.2,0.0
Jon Lieber,287,1.7,1.2,1.4,3.2,2.6,4.5,4.4,4.4,3.1,3.5,3.1,2.4,1.4
Ed Whitson,1013911,0.5,1.2,3.2,0.7,1.1,-0.1,2.6,2.0,0.2,1.1,3.0,2.7,5.2
Jason Isringhausen,1158,1.5,2.1,0.1,0.9,1.8,2.5,0.9,1.7,0.7,-0.9,0.6,-0.3,-0.3
John Smoltz,115,-0.4,4.0,3.6,3.7,5.0,3.9,2.1,4.6,8.4,6.7,5.2,5.4,1.3
Mike Morgan,67,-0.2,0.9,-0.1,2.5,3.1,0.5,2.5,2.1,4.5,3.2,2.8,0.3,1.5
Jeremy Affeldt,583,0.9,2.5,1.0,0.3,-0.5,0.4,0.4,0.5,0.1,0.0,0.8,-0.5,0.4
Bill Gullickson,1005136,3.2,4.8,2.8,3.4,1.8,3.0,3.2,1.1,0.4,3.4,0.6,0.7,0.7
Catfish Hunter,1006199,0.3,1.8,5.2,1.4,1.3,3.1,3.2,4.5,0.5,6.3,5.7,3.9,-0.8
Julian Tavarez,541,-0.1,1.6,0.9,0.0,0.3,-0.3,1.5,2.2,1.0,1.1,1.3,0.3,0.0
Al Leiter,883,0.5,0.3,0.9,2.5,3.0,3.4,1.3,4.8,3.3,4.8,3.8,3.2,2.4
Doyle Alexander,1000122,0.9,1.1,0.8,0.6,1.2,1.3,1.7,1.4,1.2,2.9,1.6,-0.3,1.0
Grant Jackson,1006298,1.1,0.6,4.3,1.5,1.1,0.9,0.7,0.7,0.7,0.9,-0.5,0.4,-0.7
Kent Tekulve,1012905,0.3,1.7,1.3,1.4,2.1,0.0,1.2,0.6,1.9,0.2,0.2,2.0,1.1
Lindy McDaniel,1008441,2.6,0.7,1.3,0.6,1.6,0.5,1.9,0.4,0.1,1.3,1.8,-1.0,0.3
Woodie Fryman,1004381,3.0,0.3,2.9,3.0,2.4,3.1,2.7,1.7,0.9,2.3,2.6,-0.3,1.1
Dave LaRoche,1007354,0.0,1.0,0.1,-0.3,-0.1,1.3,2.6,0.3,0.6,-0.2,1.1,0.2,0.7
Chan Ho Park,1267,1.1,2.1,3.7,1.2,3.9,4.3,1.0,-0.3,1.9,0.8,0.2,1.4,0.0
Kenny Rogers,1277,0.8,1.3,-0.5,1.1,3.6,2.5,3.0,2.2,0.6,4.5,3.5,4.3,0.8
Sparky Lyle,1007859,0.6,0.8,1.3,0.6,0.2,1.5,1.5,2.0,2.0,0.8,2.5,0.5,0.6
Kevin Appier,3,3.2,4.7,4.8,6.8,4.0,5.3,6.3,5.2,2.7,2.0,3.4,2.6,0.1
Charlie Hough,1006050,0.3,-0.5,-0.3,-0.4,0.5,0.0,0.0,0.2,1.4,3.1,3.2,3.1,3.6
Steve Barber,1000530,1.7,3.5,2.3,5.4,1.1,2.9,2.6,0.6,0.9,0.8,0.5,-0.3,0.7
Jim Palmer,1009973,0.6,2.0,-0.1,3.7,6.2,4.6,4.4,4.6,1.9,6.9,4.2,5.5,4.4
Matt Belisle,1837,0.4,0.0,2.4,0.0,2.0,1.2,1.8,1.3,0.4,0.1,0.7,0.6,-0.2
Kirk Rueter,1128,1.4,1.0,1.0,0.9,3.0,0.9,1.4,1.2,0.8,1.3,0.7,0.7,0.0
Danny Darwin,1002996,1.0,2.5,1.7,1.0,3.2,3.7,1.3,3.2,2.6,1.0,1.6,2.8,-0.1
Ryan Dempster,517,-0.3,0.7,3.4,2.2,1.4,0.7,1.8,0.9,0.2,4.7,3.6,2.5,2.6
Dave Burba,1239,-0.2,0.5,0.1,0.6,1.2,2.3,1.1,1.8,3.0,4.2,2.5,1.6,0.2
Paul Splittorff,1012346,3.7,3.9,4.1,1.4,2.0,0.9,3.7,2.9,1.8,2.4,0.7,1.9,2.2
Todd Jones,436,-0.1,1.4,0.4,-0.4,1.8,0.3,0.8,1.4,0.1,0.9,0.0,0.9,2.4
Matt Cain,4732,0.7,3.8,4.1,3.7,3.3,4.0,4.5,3.2,1.2,-0.2,-0.5,-0.1,0.3
A.J. Burnett,512,0.6,0.9,1.4,4.8,2.9,5.0,2.9,2.3,5.0,2.8,1.4,0.6,3.5
Mike Torrez,1013134,0.4,1.6,-0.4,2.2,1.0,2.4,2.4,3.3,2.3,3.3,3.3,2.6,1.2
Dick Drago,1003475,2.5,3.8,4.7,2.9,2.8,1.9,0.8,-0.6,0.5,0.6,2.5,-0.1,0.8
Bob Miller,1008877,1.2,0.3,0.7,2.7,1.1,0.4,0.3,-1.0,0.7,1.7,0.0,0.8,-0.3
Diego Segui,1011725,1.0,2.0,1.7,1.6,0.8,0.6,0.3,1.3,2.2,0.6,0.7,0.9,0.7
Al Downing,1003450,4.7,4.2,3.0,1.8,3.9,0.2,1.5,0.5,3.1,2.2,1.9,1.1,0.3
Jeff Suppan,633,1.5,0.5,2.8,1.9,2.5,1.3,2.7,1.4,1.8,1.9,2.6,0.0,-0.4
Jim Lonborg,1007724,2.5,2.8,5.7,0.2,1.8,0.7,1.9,2.3,0.8,4.4,2.1,3.2,1.8
Jim Slaton,1012054,0.1,0.0,2.4,2.1,0.8,4.1,1.5,1.3,3.5,0.4,0.2,-1.6,0.6
Andy Benes,1144,0.9,2.9,3.6,4.7,3.5,4.2,3.3,2.4,5.1,3.3,1.3,1.6,-1.5
Clay Carroll,1001997,-0.1,1.5,0.2,1.0,0.6,1.4,0.2,0.4,0.4,1.8,1.2,1.1,-0.4
Andy Pettitte,840,3.2,4.6,7.2,3.2,2.6,3.9,5.8,3.9,5.1,1.9,5.8,3.4,4.0
Burt Hooton,1006005,4.1,5.3,2.4,3.9,3.1,5.2,3.3,4.4,1.8,3.3,1.8,0.3,0.6
David Wells,855,-0.9,1.8,3.8,2.5,0.4,3.0,2.3,3.7,3.4,4.3,4.4,3.9,6.2
Rick Reuschel,1010852,4.2,6.1,4.7,4.7,4.8,6.5,4.5,3.9,4.7,3.0,1.2,5.2,2.8
Mike Jackson,732,0.0,0.7,0.6,0.1,1.5,0.4,0.9,1.1,0.3,0.7,1.7,1.9,0.3
Vida Blue,1001094,-1.1,1.5,8.8,2.1,2.1,5.5,5.1,7.6,4.9,5.6,1.1,3.3,1.0
Joe Nathan,1122,-0.3,-0.1,1.2,3.0,2.6,3.1,2.0,1.9,1.8,-0.1,1.7,2.4,0.2
Bob Ojeda,1009756,0.5,0.2,1.8,2.8,3.1,4.2,0.5,5.1,1.0,0.7,2.1,1.4,0.3
Guillermo Mota,1467,0.0,0.2,-0.3,0.4,2.1,1.3,0.6,-0.3,0.2,0.1,0.1,0.2,-0.1
Bob Forsch,1004233,1.3,3.0,0.4,2.0,1.8,2.8,3.5,1.4,2.1,-0.1,0.0,0.6,2.2
Dave Stewart,1012519,0.3,0.4,1.7,0.5,-0.1,1.5,4.8,5.1,3.2,4.9,1.5,1.2,0.9
Derek Lowe,199,0.4,2.4,2.2,2.4,1.6,4.6,2.4,2.2,2.8,4.4,3.1,4.3,1.9
Dennis Lamp,1007284,0.2,2.9,3.3,1.4,2.3,3.4,1.7,0.0,2.0,0.5,0.5,1.3,1.6
Mike Marshall,1008144,0.0,0.9,0.8,0.3,1.8,1.6,4.4,0.4,0.4,0.8,1.9,2.1,0.1
Jon Matlack,1008246,0.5,4.9,4.7,7.5,4.4,4.4,2.6,6.8,1.2,5.2,0.8,1.7,0.4
Wilbur Wood,1014248,0.2,0.4,1.3,1.3,0.4,1.9,8.7,6.1,7.4,4.7,3.4,1.2,0.6
Paul Quantrill,669,0.7,1.2,-0.1,2.0,0.3,1.9,1.6,0.2,0.9,1.7,1.4,1.5,1.0
Bob Gibson,1004662,1.1,3.9,6.0,4.4,5.8,5.1,6.0,4.3,8.6,8.8,9.8,5.2,6.4
John Candelaria,1001909,2.6,2.5,2.9,2.7,2.2,4.0,0.4,3.7,4.5,3.3,1.8,3.0,2.4
Bruce Chen,769,-0.1,1.7,0.5,-0.2,0.6,1.6,-0.7,0.0,1.2,1.4,1.7,1.3,0.1
Ken Forsch,1004234,4.1,0.8,2.6,1.0,0.7,0.5,1.5,2.4,1.8,2.4,3.1,2.4,2.6
Cole Hamels,4972,2.6,3.9,4.7,3.7,3.6,5.1,4.6,4.6,4.5,4.5,3.3,1.8,2.2
Livan Hernandez,1116,1.9,0.4,2.9,4.5,2.3,2.7,4.4,4.4,2.4,2.0,0.2,1.0,1.8
Kevin Millwood,106,1.3,3.4,5.5,4.0,0.9,4.6,4.7,2.9,3.4,4.3,2.1,3.2,2.1
Edwin Jackson,1841,0.1,1.2,1.5,3.7,3.2,3.4,2.1,2.2,0.7,0.0,-0.2,-0.2,0.8
Kevin Gross,1005088,0.5,1.3,3.6,1.5,0.8,2.4,1.6,2.4,0.9,3.4,3.2,3.4,0.9
Zack Greinke,1943,1.8,2.0,2.1,4.2,8.6,4.9,3.2,4.8,3.5,4.5,5.4,2.3,4.7
David Cone,1680,0.5,5.3,3.3,5.0,6.5,5.2,3.9,3.8,4.5,2.2,4.9,5.1,3.4
Nelson Briles,1001432,1.0,1.2,2.1,2.4,3.4,0.7,1.2,3.5,2.7,1.3,0.4,2.6,0.4
Mark Gubicza,1005115,2.7,2.2,3.0,3.8,6.2,6.3,1.6,2.1,2.1,2.3,2.7,3.0,0.7
Luis Tiant,1013054,2.0,2.8,2.5,3.7,7.4,0.5,0.5,0.9,3.6,5.0,6.5,4.2,3.7
Bud Black,1001007,0.3,1.1,4.3,3.6,0.1,1.1,0.6,3.4,2.4,0.8,-0.1,0.2,0.1
Marty Pattin,1010074,0.1,0.2,4.3,3.4,4.6,1.8,1.0,2.3,1.4,0.3,-0.1,0.7,0.4
Bartolo Colon,375,0.7,4.4,3.8,4.3,3.9,4.4,4.7,1.4,4.1,0.3,1.0,0.5,0.2
Ray Sadecki,1011360,1.4,1.8,0.7,1.2,3.7,1.2,-0.3,4.0,4.6,0.7,1.0,3.2,0.4
Lee Smith,1012175,0.9,2.7,2.4,2.1,2.7,1.8,2.9,1.6,1.5,2.4,2.0,1.2,0.1
Kyle Lohse,739,0.3,1.2,2.8,1.0,1.6,1.5,3.0,2.8,0.7,0.5,2.2,3.3,1.7
Felix Hernandez,4772,2.3,3.3,3.5,3.6,7.0,6.8,5.3,6.6,6.1,5.6,2.7,1.1,0.4
Oliver Perez,1514,0.6,0.4,4.5,-0.8,0.1,2.7,1.6,-0.6,-1.1,0.8,0.4,0.5,0.1
Bert Blyleven,1001098,3.6,7.5,5.9,10.8,8.5,6.2,6.7,4.9,5.2,3.4,3.9,3.9,4.1
Orel Hershiser,1005741,4.0,5.4,3.6,5.6,4.0,5.6,2.5,2.3,3.0,1.1,2.5,3.8,1.4
Anibal Sanchez,3284,1.9,0.0,0.3,0.7,4.2,3.7,3.5,5.8,3.3,1.3,0.9,0.6,2.5
Rich Gossage,1004894,0.5,-0.8,0.7,4.0,2.0,4.2,2.4,1.0,3.2,1.4,3.6,3.5,1.5
Javier Vazquez,801,0.5,2.2,5.2,6.1,4.6,6.0,2.0,3.5,4.7,4.8,4.9,5.8,0.1
Bill Lee,1007448,-0.2,0.5,1.1,0.3,5.2,3.7,3.5,-0.2,1.2,0.7,1.8,0.3,0.8
Tom Glavine,90,0.0,2.0,2.0,2.9,5.4,4.6,3.3,3.6,4.3,5.3,3.6,4.8,4.2
Dennis Martinez,1008161,2.3,3.8,4.3,-0.2,2.8,1.9,0.7,0.1,0.0,1.0,2.8,2.2,3.1
Larry Gura,1005150,-0.2,0.7,1.1,1.8,0.0,1.1,3.1,1.3,4.1,2.7,1.9,0.1,-0.4
Jim Brewer,1001406,0.3,-0.5,1.1,0.2,0.8,0.2,0.8,0.7,1.1,0.6,0.1,0.1,0.6
Eddie Guardado,727,0.5,0.3,0.3,0.4,0.0,0.4,-0.5,1.4,1.2,1.4,0.2,0.8,-0.3
Jason Hammel,4538,0.3,0.3,-0.2,3.5,3.2,1.1,2.6,0.6,1.8,2.3,1.3,2.4,0.9
John Lackey,1507,1.9,1.8,3.1,5.3,5.3,5.0,1.4,3.2,3.4,0.9,2.4,2.5,3.5
Jimmy Key,1006885,-0.4,2.8,3.4,5.6,1.6,4.6,2.4,5.3,2.7,5.2,4.0,0.6,2.7
Jason Marquis,105,1.2,0.3,0.0,1.8,0.7,-0.5,1.4,1.7,3.2,-0.5,1.0,-0.2,-1.3
Frank Viola,1013435,0.9,0.1,3.5,3.9,2.9,5.4,6.3,5.0,5.8,2.5,3.7,2.7,0.3
Greg Swindell,76,0.9,1.4,6.3,3.3,2.7,5.9,4.6,2.0,1.2,1.0,-0.7,1.4,0.0
Greg Maddux,104,0.4,1.5,3.7,3.7,5.1,5.8,7.0,7.5,7.4,7.9,7.8,8.0,7.5
LaTroy Hawkins,729,-0.1,1.6,1.4,1.1,-0.1,1.6,2.6,1.4,0.2,0.7,0.2,0.8,0.5
Mike Hampton,430,-0.1,2.3,2.4,3.1,2.3,4.9,4.6,1.9,0.3,2.6,1.9,1.0,0.2
Steve Trachsel,898,1.5,0.7,1.6,1.7,1.8,2.5,2.4,2.0,2.1,1.8,1.5,0.1,0.5
Don McMahon,1008629,-0.7,0.2,0.9,-0.5,0.8,0.1,0.1,0.3,0.8,0.9,0.2,-0.2,-0.1
Barry Zito,944,2.1,4.8,4.5,4.4,3.1,3.0,2.2,1.6,1.3,2.0,1.8,-0.6,1.0
Mike Timlin,1187,1.5,0.7,0.2,0.2,1.3,1.4,0.6,1.8,0.3,0.1,0.7,-0.3,1.0
Dave Stieb,1012532,1.6,4.3,2.9,4.8,5.1,5.6,4.5,0.8,2.5,3.1,2.7,4.3,0.8
Rick Aguilera,1000086,2.0,1.6,1.6,3.6,1.3,1.5,0.8,1.0,0.8,1.3,1.5,0.8,1.4
Dick Ruthven,1011330,1.4,3.4,0.4,3.9,2.1,3.4,1.6,3.2,1.6,2.2,2.3,0.7,0.7
Trevor Hoffman,1035,0.4,1.6,0.1,2.9,2.3,3.1,2.2,2.6,0.3,2.0,1.8,1.7,1.3
Gene Garber,1004493,1.0,-0.1,0.4,1.8,2.3,1.2,1.1,0.9,0.7,2.2,-0.1,0.9,0.8
