Player,IP,K/9,BB/9,HR/9,ERA+,zWAR
Clayton Kershaw,215,11.09,1.72,0.59,181,7.8
Max Scherzer,212.3,10.56,2.42,0.64,145,6.2
Chris Sale,195.7,11.08,1.89,0.92,138,5.9
Jake Arrieta,186.3,9.37,2.42,0.63,148,5.4
Zack Greinke,190.7,8.21,1.89,0.76,142,5.2
David Price,209.3,9.07,1.68,0.86,121,4.9
Sonny Gray,211,7.64,2.77,0.73,121,4.9
Madison Bumgarner,210,9.26,1.84,0.77,131,4.8
Felix Hernandez,200.3,9.12,2.2,0.81,116,4.8
Jon Lester,199,8.77,2.08,0.77,127,4.6
Dallas Keuchel,202.3,7.87,2.22,0.8,120,4.5
Stephen Strasburg,169.7,10.29,1.96,0.85,133,4.5
Corey Kluber,202,9.67,1.92,0.8,117,4.3
Jacob deGrom,178.3,9.39,2.32,0.66,126,4.3
Gerrit Cole,190,8.53,2.18,0.62,118,4.2
Jose Quintana,195.3,7.65,2.17,0.78,110,4.1
Johnny Cueto,207,7.74,2.17,0.61,123,4.1
Jose Fernandez,147.3,10.45,2.26,0.67,140,4
Carlos Carrasco,172.3,10.08,2.04,0.78,122,4
Matt Harvey,170.3,8.51,2.17,0.63,123,3.9
Garrett Richards,182.3,8.39,3.06,0.64,117,3.8
Cole Hamels,197.3,7.66,2.42,1,111,3.7
Noah Syndergaard,172,10.15,2.25,0.89,116,3.6
Adam Wainwright,156,7.27,1.85,0.63,123,3.6
Wei-Yin Chen,174,7.19,1.86,0.83,118,3.5
Francisco Liriano,166.3,9.47,3.52,0.7,114,3.5
Lance Lynn,181.7,8.57,3.27,0.64,114,3.5
Shelby Miller,186,7.94,3.19,0.87,110,3.4
John Lackey,183,7.67,2.07,0.98,114,3.4
Kenta Maeda,177,8.24,2.14,0.76,113,3.4
Carlos Martinez,172.3,8.72,2.98,0.63,114,3.4
Tyson Ross,178,9.2,3.49,0.56,107,3.3
Carlos Rodon,158.3,9.61,3.58,1.08,108,3.2
Danny Salazar,178,9.86,2.53,1.06,108,3.2
Gio Gonzalez,162.7,8.85,3.48,0.61,113,3.2
Julio Teheran,197,7.99,2.6,1.05,105,3.1
Collin McHugh,178,8.09,2.43,0.91,107,3.1
Jeff Samardzija,196,8.27,2.02,0.73,107,3
Scott Kazmir,168,8.68,2.41,0.91,108,2.9
Yu Darvish,132,10.64,3.48,1.02,120,2.9
Justin Verlander,164.3,7.72,2.57,0.88,106,2.8
Yordano Ventura,175,8.43,3.24,0.87,109,2.8
Masahiro Tanaka,157.7,8.39,1.71,1.26,103,2.8
Jorge de la Rosa,143,7.05,3.59,1.01,106,2.7
Jordan Zimmermann,181.3,6.8,1.74,1.14,102,2.7
Luis Severino,154,8.59,2.98,1.05,104,2.7
Michael Wacha,154,8.01,2.86,0.88,109,2.7
Lance McCullers,150.7,9.26,3.76,0.78,108,2.6
James Shields,185.7,8.77,2.71,0.92,98,2.6
Kyle Hendricks,159.7,7.04,2.25,0.79,105,2.5
Anthony DeSclafani,178,7.38,2.58,0.81,101,2.5
Mike Leake,176.7,5.81,2.24,0.81,102,2.5
Eduardo Rodriguez,167.3,7.59,2.47,0.91,102,2.4
Anibal Sanchez,144,8.38,2.69,1,104,2.4
Taylor Jungmann,161.7,8.29,3.67,0.83,100,2.4
Dellin Betances,85,13.76,3.49,0.74,187,2.4
Steven Matz,141.7,8.83,2.79,0.76,106,2.4
Rick Porcello,187.3,6.73,1.87,0.96,97,2.3
Andrew Heaney,177,7.37,2.54,0.86,99,2.3
Jimmy Nelson,161.3,7.87,3.4,0.84,100,2.3
Hisashi Iwakuma,147.7,7.68,1.46,1.16,98,2.3
Jon Gray,140.3,7.57,3.01,1.03,100,2.2
Phil Hughes,167,6.95,0.86,1.08,97,2.2
Doug Fister,132.3,6.39,1.77,0.88,105,2.2
Chad Bettis,138.3,7.42,3.12,1.17,98,2.1
Edinson Volquez,175.3,6.73,3.49,0.98,99,2.1
Kyle Gibson,176.3,6.43,2.91,0.82,95,2.1
Tanner Roark,141.3,6.11,2.1,0.89,105,2.1
Robbie Ray,151.7,8.48,3.68,0.83,103,2
Clay Buchholz,126.7,7.74,2.49,0.78,104,2
John Lamb,149.3,9.83,3.44,1.15,98,2
Raisel Iglesias,133,8.59,2.44,1.08,101,2
Hyun-Jin Ryu,125.3,7.54,2.08,0.79,103,2
Michael Pineda,121.3,8.09,1.41,1.04,102,2
Marco Estrada,157.3,7.04,2.63,1.43,99,2
Patrick Corbin,128.7,7.34,2.24,0.91,107,1.9
Adam Warren,101.7,8.14,2.74,0.62,126,1.9
Homer Bailey,149,7.85,2.54,1.03,98,1.9
Alex Wood,168.3,7.43,2.62,0.8,97,1.9
Zachary Davies,141,7.66,3.19,0.89,99,1.9
Yovani Gallardo,166,5.86,3.31,0.92,97,1.9
Joe Ross,135.3,7.45,2.59,0.93,100,1.9
Kevin Gausman,152.3,7.45,3.13,0.95,96,1.8
Aroldis Chapman,63.3,15.92,4.12,0.71,208,1.8
Danny Duffy,125,7.2,3.38,0.94,105,1.8
Hector Santiago,153.3,7.87,3.58,1,98,1.8
Aaron Nola,175,7.87,1.9,1.23,90,1.8
Jaime Garcia,92.7,6.99,2.23,0.78,113,1.8
Marcus Stroman,104.3,7.68,2.07,0.95,106,1.8
Jarred Cosart,132,6.2,3.89,0.68,99,1.7
Mike Fiers,157.7,8.22,2.74,1.26,95,1.7
Jose Berrios,146.3,8,2.46,1.05,95,1.7
Chris Bassitt,124.3,6.95,3.26,0.72,99,1.7
Chris Tillman,174.7,6.85,3.09,1.13,91,1.6
Ubaldo Jimenez,157.3,8.18,3.89,1.03,93,1.6
Jason Hammel,144.3,7.8,2.43,1.19,97,1.6
Mike Bolsinger,143,8.43,3.27,0.88,95,1.6
Nathan Eovaldi,146.3,7.81,2.71,0.92,93,1.6
Ken Giles,73,11.84,2.96,0.62,152,1.6
A.J. Burnett,154.7,7.21,3.2,0.7,92,1.6
Mark Buehrle,168,4.98,1.93,1.02,93,1.6
R.A. Dickey,175.3,5.96,2.98,1.23,91,1.6
A.J. Cole,133.7,6.93,2.36,1.28,96,1.6
Josh Collmenter,137,5.98,2.23,1.05,100,1.5
Chase Anderson,145.7,7.47,2.53,1.11,97,1.5
Manny Banuelos,115.7,8.32,4.28,0.86,98,1.5
Henry Owens,159,7.81,4.25,1.02,92,1.5
Dan Haren,152.7,7.25,1.89,1.36,95,1.5
Adam Conley,127.3,6.72,3.39,0.71,98,1.5
Jordan Lyles,106.3,5.84,3.13,0.85,96,1.5
Jeff Hoffman,117.3,6.68,3.53,1.23,94,1.5
Wade Davis,66,11.45,3.14,0.55,174,1.5
Zach Lee,128.7,6.5,1.47,0.84,96,1.5
Zack Wheeler,130,8.52,3.6,0.83,96,1.5
Tyler Glasnow,116,10.09,4.97,0.85,98,1.5
Trevor Rosenthal,74.7,11.69,3.49,0.48,151,1.5
Andrew Cashner,155.7,7.4,2.72,0.81,89,1.5
Austin Voth,133.3,7.9,3.17,1.01,96,1.5
Mike Minor,128,7.45,2.6,1.27,95,1.4
Travis Wood,135.7,8.42,3.45,0.93,99,1.4
Tom Koehler,164,6.64,3.57,0.99,93,1.4
Daniel Norris,145.7,7.72,3.77,1.05,92,1.4
Matt Shoemaker,143.7,7.64,2.13,1.19,93,1.4
Kenley Jansen,63.7,13.56,2.12,0.85,160,1.4
Brett Anderson,110.7,6.59,2.28,0.73,97,1.4
Charlie Morton,138.7,6.68,2.92,0.71,92,1.4
Tyler Lyons,135.7,7.83,1.92,1.19,96,1.4
Jake Peavy,140.3,7.18,2.25,0.96,96,1.4
Jesse Chavez,137.3,8,2.62,1.18,93,1.4
Lucas Giolito,119,8.17,3.33,1.06,95,1.4
Joe Kelly,126.7,7.32,3.48,0.85,95,1.3
David Robertson,60.3,12.39,2.54,0.9,145,1.3
Ryan Williams,134.3,5.96,2.01,0.87,95,1.3
Andrew Miller,52,14.71,2.94,0.87,176,1.3
Mark Melancon,68,8.47,1.59,0.53,145,1.3
Jon Niese,157.7,5.99,2.57,0.74,90,1.3
Tim Cooney,130.7,6.61,2.27,1.03,94,1.3
Drew Pomeranz,100.7,9.47,3.57,0.89,102,1.3
Wade Miley,179.3,7.33,3.11,0.95,86,1.3
J.A. Happ,135.7,7.56,2.85,1.19,92,1.3
Taylor Jordan,97,6.12,2.32,0.74,97,1.3
Rubby de la Rosa,163,7.29,2.98,1.21,91,1.2
Zach Britton,67.7,9.31,2.53,0.66,143,1.2
Roenis Elias,145.3,7.68,3.84,0.99,90,1.2
Erik Johnson,141.7,7.62,3.87,1.14,88,1.2
Dallas Beeler,120.3,6.13,2.92,0.75,94,1.2
Cody Allen,70.7,12.09,3.18,0.76,134,1.2
Jake McGee,53.7,10.22,2.68,0.84,141,1.2
Kelvin Herrera,72,9.63,3.13,0.63,140,1.2
C.J. Wilson,141.7,7.56,3.62,0.89,91,1.2
Jose De Leon,102.7,10.69,3.07,1.23,96,1.2
Jeurys Familia,77,9.7,2.22,0.82,133,1.2
Jesse Hahn,105.7,6.22,3.15,0.77,94,1.2
Cliff Lee,101.3,7.82,2.04,0.98,94,1.2
Jeff Locke,162.7,6.8,3.37,0.89,88,1.2
Aaron Sanchez,108,6.67,4.42,0.83,103,1.2
Bud Norris,146.3,8.06,2.89,1.11,89,1.1
Craig Kimbrel,59.7,12.36,3.47,0.75,150,1.1
Cody Reed,137,8.34,2.96,1.25,90,1.1
Brandon Finnegan,90.3,9.07,3.39,1.1,101,1.1
A.J. Ramos,67.3,10.7,4.41,0.67,138,1.1
Carter Capps,43.7,12.77,3.09,0.62,170,1.1
Antonio Senzatela,135,5.53,2.8,1.33,88,1.1
Julio Urias,87.3,8.87,3.2,0.82,98,1.1
Matt Garza,138,6.85,2.87,1.11,88,1.1
Ervin Santana,141.7,6.61,2.73,1.08,89,1.1
Tyler Duffey,151.3,6.54,2.38,1.07,87,1.1
Sean Manaea,113.3,8.1,3.65,1.03,92,1.1
Kendall Graveman,141.3,5.61,2.74,0.96,89,1.1
Steven Brault,139,6.28,2.72,0.84,89,1.1
Tony Watson,70,8.1,1.93,0.51,135,1.1
Derek Holland,100.7,7.6,2.68,1.25,96,1.1
Martin Perez,108.3,5.9,2.66,0.91,93,1.1
Chi Chi Gonzalez,140.3,5.2,3.59,0.9,90,1.1
Williams Perez,133.7,6.39,3.23,0.94,89,1
Darren O¡¯Day,59.7,10.1,2.26,0.9,139,1
John Danks,166,6.18,2.71,1.3,84,1
David Phelps,104.7,7.13,3.01,0.86,96,1
Justin Nicolino,168.3,4.12,2.03,0.96,88,1
Trevor Bauer,164.3,8.93,4.05,1.1,87,1
Greg Holland,52.3,12.05,3.61,0.69,156,1
Chris Young,110.7,5.93,3.33,1.22,95,1
Nick Tropeano,135.7,8.49,2.98,1.13,89,1
Mat Latos,134.3,7.17,2.48,0.94,90,1
Will Smith,70.7,11.58,3.31,0.89,128,1
Ariel Pena,111.7,9.35,4.43,1.13,93,1
Tommy Milone,148,6.93,2.43,1.28,86,1
Bartolo Colon,157.7,5.94,1.43,1.03,87,1
Henderson Alvarez,100.3,4.94,2.06,0.81,94,1
Liam Hendriks,65.7,9.18,1.64,0.68,134,1
Zach Petrick,133.3,6.35,2.3,1.01,90,1
Clayton Blackburn,127.7,6.98,2.47,0.85,93,1
James Paxton,102,7.5,3.35,0.79,90,1
Carson Smith,61,10.03,3.25,0.59,131,0.9
Justin Masterson,114.3,7.8,4.17,0.87,89,0.9
Pedro Strop,59,10.83,3.66,0.76,138,0.9
Hector Rondon,64,8.72,2.53,0.7,129,0.9
Edwin Jackson,141.3,6.18,3.18,0.83,88,0.9
Rudy Owens,80.3,5.72,2.8,1.12,91,0.9
Matt Boyd,125.7,7.23,3.01,1.22,88,0.9
Wily Peralta,149.7,6.37,3.01,1.14,86,0.9
Ivan Nova,109.3,6.83,2.88,1.07,89,0.9
Rafael Montero,98,8.36,3.12,0.92,93,0.9
Radhames Liz,94.3,7.64,3.72,0.76,93,0.9
Kevin Siegrist,63,11,4,0.86,128,0.9
Ian Kennedy,161.7,8.91,3.06,1.17,84,0.9
Chris Heston,150.7,6.75,3.22,0.84,88,0.9
Taijuan Walker,145.3,8.36,2.54,1.24,84,0.9
Keone Kela,63,10.14,2.71,0.86,131,0.9
Shawn Tolleson,71.3,9.59,2.15,1.14,125,0.9
Jeff Francis,86.7,7.89,2.18,1.04,99,0.9
Roberto Osuna,63.3,10.24,2.84,1,129,0.9
Brett Cecil,54.7,11.52,3.13,0.82,136,0.9
Jonathan Papelbon,56.7,7.78,1.9,0.79,128,0.9
Blake Treinen,76.7,8.45,3.4,0.59,118,0.9
Yusmeiro Petit,93.3,8.1,1.83,1.25,96,0.9
Matt Wisler,156.7,7.06,2.64,1.26,85,0.8
Brian Johnson,104,7.36,3.89,1.04,90,0.8
Matt Barnes,119,7.03,3.25,1.06,88,0.8
Steven Wright,110,6.38,2.78,1.23,89,0.8
Justin Grimm,59,10.83,3.81,0.76,131,0.8
Tsuyoshi Wada,115.3,6.95,2.89,1.17,89,0.8
Tony Cingrani,77.7,10.66,4.52,1.16,97,0.8
Chris Rusin,152.3,4.96,2.66,1.3,84,0.8
David Hale,109,5.7,3.22,1.07,89,0.8
Tyler Anderson,89,6.17,3.34,1.31,89,0.8
Scott Feldman,130,6.02,2.77,1.18,88,0.8
Tony Sipp,54.7,11.35,2.8,0.99,133,0.8
Alec Mills,96.7,6.14,1.86,1.02,94,0.8
Tyler Skaggs,92.7,6.99,3.3,0.78,92,0.8
Yimi Garcia,71.3,10.48,2.15,1.01,120,0.8
Tyler Cravy,103.7,7.29,3.38,1.04,90,0.8
Kyle Lohse,139.3,6.27,2.26,1.29,85,0.8
Trevor May,124,8.06,3.12,1.02,87,0.8
Rich Hill,84,8.68,4.71,0.96,90,0.8
Jeremy Hellickson,133.7,7.67,2.56,1.21,83,0.8
Nick Kingham,88.7,6.9,2.74,0.91,90,0.8
Alex Reyes,102,8.91,5.91,0.79,90,0.8
Hunter Strickland,55.7,9.69,1.94,0.65,136,0.8
Sam Dyson,74,8.15,2.31,0.85,121,0.8
Shawn Kelley,52,11.08,3.12,0.69,131,0.8
Silvino Bracho,56,11.25,2.25,1.13,130,0.7
Brad Brach,76.3,9.91,3.89,0.94,113,0.7
Koji Uehara,41,10.54,1.76,1.1,132,0.7
Zach Putnam,55,9.98,3.76,0.82,120,0.7
Nate Jones,54.3,10.44,3.15,0.83,118,0.7
Tommy Hunter,65.3,7.86,1.93,0.83,120,0.7
Kendry Flores,113.7,6.57,2.77,1.03,89,0.7
Jose Urena,134.7,5.48,2.54,0.94,88,0.7
Zach McAllister,108.7,8.11,2.82,0.91,93,0.7
Cody Anderson,141.7,5.65,2.54,1.08,86,0.7
Adam Ottavino,56.3,9.11,3.2,0.96,122,0.7
Tyler Chatwood,52.7,6.49,3.24,1.2,97,0.7
Tyler Matzek,74,7.91,6.08,0.97,92,0.7
Jason Vargas,112,5.79,2.25,1.37,89,0.7
Hiram Burgos,89.3,8.06,3.73,1.11,88,0.7
Corey Knebel,63,11.29,3.43,1,119,0.7
Jeremy Jeffress,62.7,8.61,3.3,0.57,118,0.7
Josh Hader,104.7,9.03,3.95,1.2,87,0.7
Tyler Clippard,65,10.11,3.46,0.97,117,0.7
Felix Doubront,117.7,7.11,3.59,0.99,87,0.7
Sean Doolittle,44.7,10.67,1.81,1.01,128,0.7
Jake Thompson,125.3,7.54,3.16,1.08,83,0.7
Juan Nicasio,101.7,7.61,3.63,0.8,91,0.7
Antonio Bastardo,53.3,10.13,4.05,0.68,120,0.7
Marco Gonzales,109,6.94,2.81,1.16,87,0.7
Artie Reyes,127.7,5.78,3.31,0.85,86,0.7
Brandon Morrow,52,8.48,3.12,0.69,95,0.7
Nate Karns,139.3,8.79,3.49,1.29,83,0.7
Nick Martinez,140.3,5.45,3.46,1.15,85,0.7
Phil Klein,71.3,8.58,4.29,0.88,102,0.7
Alex Claudio,73.3,7,2.09,0.98,105,0.7
Drew Hutchison,142,8.05,2.73,1.27,86,0.7
Rafael Martin,51.7,10.79,2.96,0.87,123,0.7
Aaron Barrett,43.3,10.39,2.7,0.62,133,0.7
Braden Shipley,132.3,6.6,3.27,1.09,87,0.6
Andrew Chafin,74.3,7.51,3.51,0.61,117,0.6
Zack Godley,84.3,7.37,3.42,0.96,95,0.6
Sean Newcomb,122,9.81,7.08,0.89,85,0.6
Arodys Vizcaino,48,9.56,3.38,0.75,120,0.6
John Gant,126,7.93,3.79,1.14,84,0.6
Daniel Winkler,62.3,8.81,3.18,1.3,91,0.6
Junichi Tazawa,60.7,8.9,2.08,0.89,114,0.6
Jumbo Diaz,68.3,9.49,2.9,0.92,112,0.6
Josh Smith,156.7,7.06,3.22,1.15,82,0.6
Brad Hand,105.7,6.73,3.75,0.85,89,0.6
Eddie Butler,128.7,5.24,3.92,1.19,83,0.6
Justin Miller,54.7,8.39,3.13,0.99,113,0.6
Alfredo Simon,155.7,5.2,2.95,1.16,84,0.6
Francisco Rodriguez,48.7,8.87,2.03,1.11,123,0.6
Blaine Hardy,59.3,8.5,3.19,0.76,113,0.6
Luke Gregerson,59,8.69,2.14,0.92,117,0.6
Will Harris,63.3,9.24,2.99,1.14,115,0.6
Jered Weaver,151.3,6.13,2.38,1.31,84,0.6
Joe Smith,62.7,8.04,2.58,0.72,113,0.6
Chris Capuano,76.3,8.14,3.18,0.94,92,0.6
Junior Guerra,70.3,10.37,4.22,1.28,93,0.6
Jacob Barnes,81,8.22,3.67,0.89,93,0.6
Joe Blanton,78,8.31,2.08,1.04,93,0.6
Kevin Quackenbush,67.3,9.36,3.48,0.67,108,0.6
Nick Vincent,67,10.07,2.82,0.81,107,0.6
Sergio Romo,54.3,9.78,1.82,0.83,125,0.6
Felipe Rivero,56.3,7.99,2.72,0.64,121,0.6
Taylor Hill,138,5.09,1.96,1.11,85,0.6
Oliver Perez,46.7,10.79,3.47,0.77,118,0.6
Brad Ziegler,58.7,6.13,2.76,0.61,117,0.5
Tim Stauffer,75,7.2,2.76,0.96,97,0.5
Jake Brigham,103.7,6.34,3.12,0.95,86,0.5
Jason Grilli,36,10.5,3,0.75,127,0.5
Miguel Gonzalez,141.7,6.41,2.92,1.46,84,0.5
Oliver Drake,48.7,10.53,3.88,0.74,120,0.5
Mychal Givens,74,9.73,4.01,0.85,109,0.5
Dylan Bundy,35,7.46,3.34,1.03,97,0.5
Zach Duke,54.7,10.2,3.95,1.15,109,0.5
Dan Jennings,57.3,8.32,3.46,0.79,105,0.5
Jake Petricka,70.7,7,3.31,0.76,104,0.5
Trevor Cahill,115,7.75,4.15,0.94,87,0.5
Eric Jokisch,117.3,6.29,2.92,1.07,85,0.5
Neil Ramirez,33.7,10.42,3.74,0.8,129,0.5
Mike Dunn,55.7,10.34,3.88,0.81,114,0.5
Cody Ege,55.7,9.21,3.39,0.81,114,0.5
Jason Gurka,61,6.93,2.95,1.03,101,0.5
German Marquez,115.7,5.83,2.8,1.4,82,0.5
Kevin Ziomek,128,7.17,3.8,1.05,85,0.5
Justin Wilson,62,8.71,3.63,0.73,113,0.5
Alex Wilson,69,5.48,2.22,0.78,109,0.5
Pat Neshek,53.3,9.12,1.69,1.01,117,0.5
Kris Medlen,109,6.28,2.31,1.24,89,0.5
Buddy Baumann,73.3,7.37,3.44,0.86,99,0.5
Jharel Cotton,100.3,8.79,3.05,1.26,86,0.5
Brandon McCarthy,69.7,6.97,1.94,1.16,88,0.5
Carlos Frias,123,6,2.63,0.88,84,0.5
Chris Hatcher,60.3,10,2.39,0.9,111,0.5
Alex Meyer,100,8.64,4.5,0.99,87,0.5
Glen Perkins,54.7,9.38,1.97,0.99,115,0.5
Kevin Jepsen,61.3,8.66,3.52,0.88,109,0.5
Logan Verrett,128,7.24,2.18,1.2,85,0.5
Zack Thornton,68,8.74,2.78,0.66,108,0.5
Jarrod Parker,93,6,3.1,1.16,85,0.5
Michael Mariot,59.3,9.87,2.88,0.91,107,0.5
Allen Webster,131,6.25,3.37,0.96,83,0.5
Arquimedes Caminero,73.3,8.72,3.32,0.86,106,0.5
Miguel Socolovich,49,9,3.12,0.55,123,0.5
Seung-hwan Oh,62.7,9.33,2.3,1,111,0.5
Jordan Walden,33.7,10.42,3.74,0.8,130,0.5
Leonel Campos,55,11.78,4.58,0.65,111,0.5
Jay Jackson,67.7,9.44,3.19,0.66,104,0.5
Santiago Casilla,50.3,7.51,3.04,0.54,123,0.5
Tim Lincecum,118.3,7.91,3.73,0.91,86,0.5
Tony Zych,66.7,8.77,2.02,0.81,104,0.5
Joaquin Benoit,49.3,8.95,3.1,1.1,111,0.5
Luke Jackson,89.7,8.43,4.41,1.1,91,0.5
Colby Lewis,128.7,6.22,2.38,1.26,84,0.5
Mitch Lively,86.3,7.09,4.48,0.83,88,0.5
Kaleb Fleck,57.3,9.9,3.93,0.94,115,0.4
Randall Delgado,72.7,9.53,3.96,0.87,110,0.4
Ryan Weber,105.3,5.98,1.54,1.28,86,0.4
David Carpenter,56.7,8.41,3.81,0.63,109,0.4
Shae Simmons,34,10.06,4.24,0.53,120,0.4
Paco Rodriguez,35.7,10.59,3.78,1.01,117,0.4
Jason Frasor,31.3,9.2,4.03,0.58,121,0.4
Mike Wright,130.7,6.06,2.75,1.24,83,0.4
Andrew Triggs,61.7,6.86,2.48,0.88,105,0.4
T.J. McFarland,78,6,3,0.81,93,0.4
Brian Matusz,49.7,9.78,3.26,1.09,110,0.4
Edwin Escobar,76,6.87,2.25,1.3,88,0.4
